iteration,entropy
0,0.7949462786179518
1,0.8236939673698946
2,0.7811564662354168
3,0.7932182913906634
4,0.7396351057873242
5,0.716757919464154
6,0.7063566599805678
7,0.693005602091564
8,0.6784902358377193
9,0.6723027428227276
10,0.6631717685326608
11,0.643863385473695
12,0.6376200919664136
13,0.6149306898771305
14,0.6190714378011437
15,0.6077798378183261
16,0.5889115455567869
17,0.5738247486000903
18,0.5834675690056428
19,0.571203468338056
20,0.5676408079594939
21,0.5503869558524161
22,0.5539629765493275
23,0.5454121571356919
24,0.5544533726460996
25,0.5632469663546958
26,0.5549065990490661
27,0.529210705770791
28,0.5191476859136245
29,0.5223554761081755
30,0.5117900174121741
31,0.5105626041733506
32,0.5127009136313524
33,0.5069344781500633
34,0.5100670194133682
35,0.4902012813919657
36,0.49506835324785586
37,0.4961671236348532
38,0.4855982665039842
39,0.4880645340030548
40,0.4862745582728245
41,0.4865224058535118
42,0.4839756904893303
43,0.4826159784564101
44,0.4694540662857448
45,0.4868377535129438
46,0.4688941830561976
47,0.4858356440641605
48,0.45999415844634717
49,0.4369297051882445
50,0.42679382135509325
51,0.4219620986169323
52,0.4148160510657717
53,0.3954062952787072
54,0.38455847203775273
55,0.3871979380153181
56,0.376089676851476
57,0.39240334831923385
58,0.38175893165757807
59,0.3920161967966261
60,0.37745088457570497
61,0.3915415204911489
62,0.39856375872015204
63,0.4198212735887988
64,0.41015730344889667
65,0.40545231328325093
66,0.41140767060249706
67,0.39656425316325616
68,0.39585214717080985
69,0.4093918258408966
70,0.413381013670052
71,0.3940160459122643
72,0.4184252046595879
73,0.401182098314717
74,0.4228375389033757
75,0.39969567445924226
76,0.3914572776276973
77,0.37888327354605983
78,0.364015621319812
79,0.35466168240496265
80,0.3507186531081209
81,0.363578786703207
82,0.35887493495592604
83,0.36751641960411546
84,0.35885778532926793
85,0.35273698187747315
86,0.35086522972726963
87,0.3483839739089348
88,0.3389702306082712
89,0.33896651273701756
90,0.3215771780819738
91,0.31848956894460767
92,0.3236603053101035
93,0.3366106268731782
94,0.3348636108228742
95,0.33542643597667915
96,0.3386296867455164
97,0.3309174579706182
98,0.3137376388205138
99,0.31856926688999887
100,0.3058282710748399
101,0.3075033338765227
102,0.28117655585582446
103,0.28470051112047834
104,0.27228328424390136
105,0.2632625745019751
106,0.2607447857960946
107,0.25959950286196104
108,0.25497350147953757
109,0.24212018428298654
110,0.2470163234456372
111,0.2603647758364054
112,0.25989724663526803
113,0.25366845907229546
114,0.2430203439815969
115,0.23431221533616425
116,0.2118684780863473
117,0.21248789360643722
118,0.2045929167662054
119,0.2097618171995983
120,0.2106612293568519
121,0.2078828654723382
122,0.2047257970115893
123,0.20314342903583416
124,0.20464208835109698
125,0.1985139419731607
126,0.20833612822371012
127,0.2037168702694802
128,0.19736520320407996
129,0.2092554274740782
130,0.21215699366352647
131,0.2148736672395669
132,0.20871597860015353
133,0.21324983608408882
134,0.2064441818949087
135,0.20382494374121043
136,0.20126065133204057
137,0.20363090662390826
138,0.2072958468145793
139,0.2132795850239445
140,0.2215031339511828
141,0.2090137145331894
142,0.2181448160416904
143,0.21685919560712133
144,0.21953122672756997
145,0.22499354198375277
146,0.21664249264561164
147,0.21621745517504498
148,0.21186987477125854
149,0.22333080237731948
150,0.21187662241693855
151,0.21180578245618825
152,0.2156644645564607
153,0.20675550875107992
154,0.2081566465033927
155,0.2030160253108624
156,0.20233620126297092
157,0.19759114038693007
158,0.20112917184338286
159,0.19416311578253384
160,0.19047369070553188
161,0.18794824765857437
162,0.18618574228447163
163,0.1876818850044255
164,0.1868180001171333
165,0.19386921485541367
166,0.19211757974668564
167,0.20420842399156783
168,0.19607862747638077
169,0.1974099090271738
170,0.19048761383494184
171,0.19710596472162784
172,0.19723330633490077
173,0.20429285893574398
174,0.19633740245241973
175,0.19536926556952336
176,0.19874394138877738
177,0.2046573135727904
178,0.2036669565311975
179,0.20397424194816166
180,0.20480882065424735
181,0.21424858728731627
182,0.21411271815734978
183,0.20900125644541548
184,0.20317123073096133
185,0.20636748411872927
186,0.20764806765856006
187,0.20921409412201294
188,0.2107219045885494
189,0.20793413119718673
190,0.20920484307702003
191,0.20899533088099148
192,0.20765527455632724
193,0.20561267080611365
194,0.2107505253939785
195,0.2064459286911953
196,0.20915247649448243
197,0.20520206243921435
198,0.21131001442677927
199,0.21344955866777823
200,0.22037634590756278
201,0.21027022439501736
202,0.20900210480898687
203,0.21119796446805983
204,0.21582566729703345
205,0.22321025301139732
206,0.2185161313105834
207,0.2170560507158203
208,0.22890175124818693
209,0.22085673959323612
210,0.22879199318730029
211,0.23175168495205137
212,0.24013975377217275
213,0.2504132622206443
214,0.25114577887416395
215,0.25552549209552744
216,0.26308755017929963
217,0.2429397539866235
218,0.24215874352780306
219,0.2496593284449829
220,0.24771128414149768
221,0.2536189049446596
222,0.25485978208305415
223,0.2548540693604215
224,0.24478123632275203
225,0.2601384428182753
226,0.25056210333231277
227,0.2548465693036269
228,0.24823491079767554
229,0.24362707285647905
230,0.2513262603228261
231,0.24945187973859034
232,0.25598549353849054
233,0.2348212341231848
234,0.22916121389833316
235,0.22392819873892283
236,0.21262857803780613
237,0.21150497114375014
238,0.21732512340629595
239,0.19303206279326607
240,0.18194335575795606
241,0.18465313393209581
242,0.18889268860575603
243,0.19177963540866083
244,0.18718163903670038
245,0.19052189987576496
246,0.19117023513362033
247,0.1967280813565855
248,0.19575473427182893
249,0.19980802516565488
250,0.20304921459882272
251,0.20694008010155324
252,0.2024317527278629
253,0.20484663379015505
254,0.2065526578848476
255,0.20859543052716858
256,0.2108411008554761
257,0.20555656123675625
258,0.21140562818042768
259,0.2020870504748561
260,0.20029912051388055
261,0.20917133338499394
262,0.21661108554002967
263,0.21707882079190366
264,0.21590262361081816
265,0.21358598765362144
266,0.2172625415556081
267,0.21987139309793718
268,0.21493142966809264
269,0.21289168681582832
270,0.20773575606512665
271,0.2160188008362328
272,0.21077861213499344
273,0.21610078391445395
274,0.20912899188895318
275,0.20968891706301848
276,0.22098230752557993
277,0.22088675022942866
278,0.23315737357027944
279,0.22756471507240467
280,0.2346769871312509
281,0.21797261635428786
282,0.20976774311268115
283,0.20034246736200323
284,0.18718736363477406
285,0.1807579204755647
286,0.18765081662721922
287,0.1868848110369251
288,0.18098182252376815
289,0.18095187000289537
290,0.17661853621432075
291,0.17777351499864322
292,0.17734367812912566
293,0.18321910253875748
294,0.18322995409534942
295,0.18818074216290875
296,0.19443859977144076
297,0.20573645516269662
298,0.19945444741222945
299,0.21490717264920134
